danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.793,0.559,-5.281,0.0304,0.303,0.0,0.102,0.614,100.065,193733
0.771,0.682,-4.06,0.0438,0.108,0.000398,0.167,0.798,120.026,275373
0.654,0.715,-6.64,0.0385,0.767,0.0164,0.129,0.71,89.994,218720
0.759,0.805,-7.693,0.0318,0.625,0.000654,0.0964,0.907,109.936,298680
0.676,0.62,-7.334,0.0292,0.117,0.0059,0.103,0.616,119.998,276200
0.625,0.602,-7.359,0.0296,0.322,0.0,0.148,0.343,135.946,215548
0.71,0.824,-4.298,0.0508,0.172,0.0,0.117,0.521,104.948,258760
0.704,0.995,-2.632,0.0493,0.036,0.0288,0.0957,0.662,137.812,188080
0.74,0.874,-3.175,0.0285,0.0765,5.01e-05,0.315,0.885,112.081,96447
0.574,0.302,-10.742,0.223,0.353,1.1e-06,0.0915,0.487,180.063,181867
0.46,0.953,-4.883,0.0899,0.00247,0.0,0.169,0.458,90.145,291107
0.572,0.523,-7.327,0.0257,0.295,2.09e-05,0.13,0.3,95.992,175547
0.776,0.758,-5.463,0.0431,0.188,0.0,0.0744,0.705,138.012,232200
0.426,0.192,-13.19,0.0366,0.887,3.56e-06,0.0868,0.244,124.603,462360
0.542,0.434,-7.884,0.0278,0.716,0.000541,0.283,0.384,179.83,205560
0.437,0.851,-7.446,0.0383,0.00618,0.000172,0.0964,0.477,132.866,241325
0.651,0.879,-3.877,0.0426,0.0709,0.0,0.101,0.561,136.848,263367
0.366,0.944,-4.934,0.0541,0.000193,0.00125,0.266,0.614,147.295,191727
0.495,0.6,-7.455,0.026,0.36,0.0,0.107,0.398,160.068,340187
0.679,0.587,-5.451,0.027,0.386,0.0,0.176,0.198,111.977,293240
0.745,0.984,-4.72,0.0344,0.00264,0.00498,0.0404,0.972,139.933,252333
0.595,0.85,-7.857,0.0349,0.0302,0.869,0.0711,0.708,110.094,184373
0.826,0.747,-9.054,0.0846,0.0151,1.3e-06,0.272,0.737,145.964,284584
0.78,0.615,-5.881,0.0285,0.162,0.000144,0.0679,0.552,120.017,232707
